id,name,dateOfBirth,positionName,positionShortName,portraitUrl,currentMarketValue,Historique_Clubs_Stats,taille,Nationalité 1,Nationalité 2
62351,Abdoulaye Bamba,1990-04-25,Centre-Back,CB,https://img.a.transfermarkt.technology/portrait/big/62351-1750955806.png,300000.0,"Angers SCO (2016-2017): 3B, 1PD | Angers SCO (2017-2018): 1B, 1PD | Angers SCO (2018-2019): 1B, 2PD | Angers SCO (2019-2020): 1B, 0PD | Angers SCO (2020-2021): 1B, 3PD | Angers SCO (2021-2022): 6B, 2PD | Angers SCO (2022-2023): 9B, 0PD | Angers SCO (2024-2025): 3B, 2PD",1.82,Côte d'Ivoire,Italie
62415,Panagiotis Tachtsidis,1991-02-15,Defensive Midfield,DM,https://img.a.transfermarkt.technology/portrait/big/62415-1732178428.png,450000.0,"Hellas Verona (2014-2015): 0B, 7PD | Genoa CFC (2015-2016): 17B, 4PD | Torino FC (2016-2017): 0B, 0PD | Cagliari Calcio (2016-2017): 2B, 3PD | US Lecce (2019-2020): 4B, 7PD",1.93,Grèce,
62638,Nathan Baker,1991-04-23,Centre-Back,CB,https://img.a.transfermarkt.technology/portrait/big/62638-1410950146.jpg,0.0,"Aston Villa (2014-2015): 3B, 3PD | Aston Villa (2015-2016): 0B, 0PD",1.89,Angleterre,
62688,Scott Dann,1987-02-14,Centre-Back,CB,https://img.a.transfermarkt.technology/portrait/big/62688-1547722565.jpg,0.0,"Crystal Palace (2014-2015): 0B, 3PD | Crystal Palace (2015-2016): 0B, 1PD | Crystal Palace (2016-2017): 4B, 3PD | Crystal Palace (2017-2018): 1B, 2PD | Crystal Palace (2018-2019): 3B, 0PD | Crystal Palace (2019-2020): 2B, 1PD | Crystal Palace (2020-2021): 0B, 0PD",1.94,Angleterre,
62713,Ryder Matos,1993-02-27,Left Winger,LW,https://img.a.transfermarkt.technology/portrait/big/62713-1699705754.png,150000.0,"Córdoba CF (2014-2015): 1B, 2PD | Udinese Calcio (2015-2016): 7B, 4PD | AC Carpi (2015-2016): 1B, 5PD | Udinese Calcio (2016-2017): 16B, 5PD | Udinese Calcio (2017-2018): 3B, 2PD | Hellas Verona (2017-2018): 3B, 4PD | Udinese Calcio (2018-2019): 0B, 0PD | Udinese Calcio (2019-2020): 0B, 0PD | Udinese Calcio (2020-2021): 1B, 0PD",1.82,Brésil,Italie
62716,Michele Camporese,1992-05-19,Centre-Back,CB,https://img.a.transfermarkt.technology/portrait/big/62716-1613734631.jpg,200000.0,"ACF Fiorentina (2014-2015): 0B, 0PD | FC Empoli (2015-2016): 0B, 1PD | Benevento Calcio (2017-2018): 0B, 0PD",1.86,Italie,
62725,Alessandro De Vitis,1992-02-15,Central Midfield,CM,https://img.a.transfermarkt.technology/portrait/big/62725-1448966200.jpg,100000.0,"UC Sampdoria (2014-2015): 0B, 0PD",1.84,Italie,
62735,Pietro Iemmello,1992-03-06,Centre-Forward,CF,https://img.a.transfermarkt.technology/portrait/big/62735-1613461376.jpg,900000.0,"US Sassuolo (2016-2017): 14B, 4PD | US Sassuolo (2017-2018): 0B, 0PD | Benevento Calcio (2017-2018): 4B, 9PD",1.86,Italie,
62917,Javi Hernández,1989-06-06,Attacking Midfield,AM,https://img.a.transfermarkt.technology/portrait/big/62917-1697282120.jpg,200000.0,"Real Madrid (2019-2020): 0B, 0PD | Girona FC (2022-2023): 12B, 11PD | Cádiz CF (2023-2024): 2B, 4PD | CD Leganés (2024-2025): 7B, 6PD",1.84,Espagne,
62920,Víctor Ruiz,1989-01-25,Centre-Back,CB,https://img.a.transfermarkt.technology/portrait/big/62920-1568211741.JPG,0.0,"Villarreal CF (2014-2015): 2B, 0PD | Villarreal CF (2015-2016): 4B, 0PD | Villarreal CF (2016-2017): 1B, 1PD | Villarreal CF (2017-2018): 0B, 0PD | Villarreal CF (2018-2019): 0B, 1PD | Real Betis Balompié (2020-2021): 4B, 2PD | Real Betis Balompié (2021-2022): 2B, 2PD | Real Betis Balompié (2022-2023): 5B, 2PD",1.84,Espagne,
62947,Tomás Mejías,1989-01-30,Goalkeeper,GK,https://img.a.transfermarkt.technology/portrait/big/62947-1611412998.jpeg,0.0,"Middlesbrough FC (2016-2017): 0B, 0PD",1.95,Espagne,
63040,Oier Sanjurjo,1986-05-25,Defensive Midfield,DM,https://img.a.transfermarkt.technology/portrait/big/63040-1490624068.jpg,0.0,"CA Osasuna (2016-2017): 1B, 1PD | CA Osasuna (2019-2020): 2B, 8PD | CA Osasuna (2020-2021): 10B, 14PD | CA Osasuna (2021-2022): 18B, 8PD",1.78,Espagne,
63186,Roberto Soriano,1991-02-08,Attacking Midfield,AM,https://img.a.transfermarkt.technology/portrait/big/63186-1596008971.jpg,750000.0,"Villarreal CF (2016-2017): 5B, 25PD | Villarreal CF (2017-2018): 13B, 12PD | UC Sampdoria (2014-2015): 4B, 10PD | UC Sampdoria (2015-2016): 4B, 15PD | Torino FC (2018-2019): 5B, 6PD | Bologna FC 1909 (2018-2019): 0B, 6PD | Bologna FC 1909 (2019-2020): 0B, 9PD | Bologna FC 1909 (2020-2021): 1B, 5PD | Bologna FC 1909 (2021-2022): 3B, 16PD | Bologna FC 1909 (2022-2023): 14B, 13PD",1.82,Italie,Allemagne
63193,Maximiliano Herrera,1986-01-26,Left Midfield,LM,,0.0,"Arsenal FC (2014-2015): 1B, 0PD",1.83,Argentine,
63200,Ashley Barnes,1989-10-30,Centre-Forward,CF,https://img.a.transfermarkt.technology/portrait/big/63200-1730035902.jpg,250000.0,"Burnley FC (2014-2015): 7B, 17PD | Burnley FC (2016-2017): 11B, 12PD | Burnley FC (2017-2018): 15B, 7PD | Burnley FC (2018-2019): 13B, 13PD | Burnley FC (2019-2020): 2B, 12PD | Burnley FC (2020-2021): 8B, 12PD | Burnley FC (2021-2022): 17B, 6PD",1.85,Angleterre,
63226,Jules Goda,1989-05-30,Goalkeeper,GK,https://img.a.transfermarkt.technology/portrait/big/s_63226_7378_2010_1.jpg,0.0,"GFC Ajaccio (2015-2016): 0B, 1PD",1.9,Cameroun,
